نام,"قیمت اصلی","نام ویژگی 1 ","مقدار ویژگی 1","قابلیت نمایش ویژگی 1 ","ویژگی سراسری 1 ","نام ویژگی 2 ","مقدار ویژگی 2","قابلیت نمایش ویژگی 2 ","ویژگی سراسری 2 ","نام ویژگی 3 ","مقدار ویژگی 3","قابلیت نمایش ویژگی 3 ","ویژگی سراسری 3 ","نام ویژگی 4 ","مقدار ویژگی 4","قابلیت نمایش ویژگی 4 ","ویژگی سراسری 4 ","نام ویژگی 5 ","مقدار ویژگی 5","قابلیت نمایش ویژگی 5 ","ویژگی سراسری 5 "
"YEK - Black",3700000,رنگ,مشکی,0,1,Collection,"ON A MISSION",1,1,جنس,PC,1,1,جنسیت,"زنانه, مردانه",1,1,فرم,گرد,1,1
"YEK - Safari",3700000,رنگ,هاوانا,0,1,جنس,PC,1,1,Collection,"ON A MISSION",1,1,جنسیت,"زنانه, مردانه",1,1,فرم,گرد,1,1
"YEK - Brown",3700000,رنگ,"قهوه ای, هاوانا",0,1,جنس,PC,1,1,Collection,"ON A MISSION",1,1,جنسیت,"زنانه, مردانه",1,1,فرم,گرد,1,1
"DO - Black",5450000,رنگ,مشکی,0,1,جنس,TR90,1,1,Collection,"ON A MISSION",1,1,فرم,مستطیلی,1,0,جنسیت,"دخترانه, پسرانه",1,0
"DO - Transparent",5450000,جنس,TR90,1,1,Collection,"ON A MISSION",1,1,رنگ,شفاف,1,1,جنسیت,"زنانه, مردانه",1,1,فرم,مستطیل,1,1
"DO - Brown",5450000,رنگ,"قهوه ای",0,1,جنس,TR90,1,1,Collection,"ON A MISSION",1,1,جنسیت,"زنانه, مردانه",1,1,فرم,مستطیل,1,1
"SE - Brown",5750000,رنگ,"قهوه ای",0,1,جنس,TR90,1,1,Collection,"ON A MISSION",1,1,جنسیت,"زنانه, مردانه",1,1,فرم,گرد,1,1
"SE - Black",5750000,رنگ,مشکی,0,1,جنس,TR90,1,1,Collection,"ON A MISSION",1,1,جنسیت,"زنانه, مردانه",1,1,فرم,گرد,1,1
"CHAR - Black",6500000,رنگ,مشکی,0,1,جنس,TR90,1,1,Collection,"ON A MISSION",1,1,جنسیت,"زنانه, مردانه",1,1,فرم,بیضی,1,1
"CHAR -  Transparent",6500000,رنگ,شفاف,0,1,جنس,TR90,1,1,Collection,"ON A MISSION",1,1,جنسیت,"زنانه, مردانه",1,1,فرم,بیضی,1,1
"PANJ - Blue",8500000,رنگ,آبی,0,1,جنس,TR90,1,1,Collection,"ON A MISSION",1,1,جنسیت,"زنانه, مردانه",1,1,فرم,مستطیل,1,1
"PANJ - Havana",8500000,رنگ,"قهوه ای",0,1,جنس,TR90,1,1,Collection,"ON A MISSION",1,1,جنسیت,"زنانه, مردانه",1,1,فرم,مستطیل,1,1
